 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.0847664,0.335241,0.545926,0.790595,1.06673,2.27226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-2,0.0842929,0.335215,0.543484,0.78331,1.05058,8.11762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-3,0.0986535,0.352024,0.56239,0.807406,1.08521,9.04842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-4,0.0987052,0.352102,0.562102,0.80635,1.08271,8.93214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-5,0.0971591,0.331948,0.552439,0.81121,1.11597,11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-6,0.096845,0.331652,0.549237,0.801875,1.09453,2.39085,0,0,0,8.51169e-06,0,0,0,0,0,0,0,0,0,-8.51169e-06,0,-8.51169e-06,0,-8.51169e-06,0,
J-7,0.0982065,0.351284,0.56498,0.816862,1.10771,10.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-8,0.0847738,0.335226,0.545918,0.790595,1.06673,2.27221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-9,0.0982065,0.351292,0.564971,0.816851,1.1077,10.1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-10,0.0721919,0.331247,0.538148,0.777942,1.04421,8.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-11,0.0722268,0.331256,0.538482,0.77891,1.04632,8.10997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-12,0.0995643,0.345352,0.57743,0.866386,1.2363,19.4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-13,0.0992333,0.344947,0.570248,0.843066,1.17692,14.4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-14,0.0132902,0.441576,0.597077,0.915529,1.27888,10.5692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-15,0.0133064,0.440501,0.595613,0.911717,1.27054,1.78992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-16,0.0990939,0.344846,0.568184,0.836619,1.16114,2.73875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-17,0.0072483,0.486666,0.657515,1.09288,1.73862,3.28592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-18,0.00698638,0.477959,0.643987,1.0504,1.61298,2.76816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-19,0.00871495,0.476608,0.643933,1.04978,1.61263,2.77646,0,0,0,0,7.59196e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-20,0.00894298,0.474427,0.640963,1.04053,1.58658,20.5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-21,0.0090104,0.476467,0.644042,1.04984,1.6127,2.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-22,0.0109545,0.469776,0.635502,1.02313,1.5395,2.52687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-23,0.0974923,0.327415,0.546217,0.796056,1.08544,9.7107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-24,0.0980692,0.327919,0.551074,0.810006,1.11731,11.3269,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.3594e-06,0,8.35941e-06,0,-8.3594e-06,0,
J-25,0.00780064,0.486249,0.657547,1.09277,1.73858,3.28978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-26,0.0132301,0.441575,0.59707,0.915512,1.27887,10.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-27,0.0980947,0.327928,0.551084,0.810017,1.11733,11.3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-28,0.0131957,0.441597,0.597063,0.915512,1.27888,10.5689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-29,0.076716,0.328851,0.539462,0.782959,1.05671,8.57348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-30,0.0784688,0.328705,0.540754,0.786412,1.06428,8.89787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-31,0.0755763,0.329071,0.539376,0.782952,1.05668,8.57721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J-32,0.0766588,0.328865,0.539446,0.782949,1.0567,8.57367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
