ID,Modified_cluster_id
J-1,0
J-169,0
J-236,0
J-247,0
J-277,0
J-32,0
J-33,0
J-346,0
J-347,0
J-396,0
J-397,0
J-464,0
J-465,0
J-481,0
J-492,0
J-525,0
J-526,0
J-533,0
J-534,0
J-544,0
J-545,0
J-548,0
J-59,0
J-60,0
J-601,0
J-608,0
J-61,0
J-62,0
J-636,0
J-645,0
J-646,0
J-648,0
J-654,0
J-657,0
J-658,0
J-665,0
J-669,0
J-689,0
J-693,0
J-702,0
J-730,0
J-731,0
J-732,0
J-759,0
J-801,0
J-802,0
J-88,0
J-10,1
J-117,1
J-118,1
J-130,1
J-144,1
J-172,1
J-173,1
J-174,1
J-175,1
J-185,1
J-19,1
J-20,1
J-202,1
J-212,1
J-213,1
J-222,1
J-252,1
J-256,1
J-258,1
J-271,1
J-274,1
J-281,1
J-282,1
J-289,1
J-296,1
J-297,1
J-300,1
J-313,1
J-376,1
J-39,1
J-40,1
J-403,1
J-406,1
J-407,1
J-422,1
J-43,1
J-44,1
J-440,1
J-447,1
J-448,1
J-470,1
J-475,1
J-490,1
J-491,1
J-501,1
J-510,1
J-543,1
J-55,1
J-551,1
J-56,1
J-573,1
J-574,1
J-606,1
J-607,1
J-614,1
J-615,1
J-620,1
J-626,1
J-627,1
J-630,1
J-633,1
J-639,1
J-686,1
J-699,1
J-794,1
J-795,1
J-85,1
J-86,1
J-9,1
J-100,2
J-101,2
J-102,2
J-109,2
J-110,2
J-127,2
J-128,2
J-129,2
J-134,2
J-135,2
J-157,2
J-158,2
J-167,2
J-168,2
J-170,2
J-171,2
J-176,2
J-178,2
J-179,2
J-184,2
J-194,2
J-195,2
J-211,2
J-214,2
J-215,2
J-223,2
J-233,2
J-234,2
J-237,2
J-242,2
J-243,2
J-248,2
J-264,2
J-272,2
J-275,2
J-278,2
J-295,2
J-298,2
J-301,2
J-302,2
J-330,2
J-352,2
J-358,2
J-363,2
J-370,2
J-393,2
J-398,2
J-424,2
J-429,2
J-430,2
J-435,2
J-45,2
J-455,2
J-46,2
J-47,2
J-476,2
J-48,2
J-500,2
J-51,2
J-512,2
J-52,2
J-520,2
J-521,2
J-530,2
J-531,2
J-57,2
J-570,2
J-571,2
J-58,2
J-581,2
J-584,2
J-592,2
J-623,2
J-641,2
J-652,2
J-663,2
J-681,2
J-685,2
J-71,2
J-714,2
J-72,2
J-721,2
J-725,2
J-742,2
J-796,2
J-797,2
J-798,2
J-93,2
J-94,2
J-97,2
J-98,2
J-99,2
J-103,3
J-104,3
J-146,3
J-163,3
J-164,3
J-228,3
J-249,3
J-259,3
J-27,3
J-28,3
J-285,3
J-286,3
J-293,3
J-294,3
J-394,3
J-418,3
J-419,3
J-423,3
J-461,3
J-462,3
J-466,3
J-467,3
J-477,3
J-479,3
J-575,3
J-576,3
J-582,3
J-588,3
J-594,3
J-612,3
J-617,3
J-618,3
J-619,3
J-625,3
J-628,3
J-63,3
J-64,3
J-642,3
J-643,3
J-644,3
J-671,3
J-696,3
J-698,3
J-716,3
J-738,3
J-739,3
J-75,3
J-76,3
J-773,3
J-78,3
J-79,3
J-804,3
J-806,3
J-105,4
J-106,4
J-147,4
J-148,4
J-235,4
J-250,4
J-251,4
J-267,4
J-273,4
J-292,4
J-306,4
J-307,4
J-308,4
J-395,4
J-416,4
J-427,4
J-431,4
J-437,4
J-453,4
J-458,4
J-459,4
J-484,4
J-519,4
J-559,4
J-560,4
J-589,4
J-590,4
J-591,4
J-602,4
J-603,4
J-616,4
J-624,4
J-629,4
J-632,4
J-637,4
J-638,4
J-647,4
J-655,4
J-659,4
J-660,4
J-662,4
J-678,4
J-687,4
J-7,4
J-700,4
J-724,4
J-743,4
J-746,4
J-749,4
J-762,4
J-763,4
J-793,4
J-805,4
J-95,4
J-96,4
J-107,5
J-108,5
J-125,5
J-15,5
J-17,5
J-18,5
J-229,5
J-238,5
J-239,5
J-25,5
J-26,5
J-34,5
J-342,5
J-343,5
J-35,5
J-369,5
J-378,5
J-383,5
J-384,5
J-388,5
J-390,5
J-391,5
J-420,5
J-421,5
J-434,5
J-443,5
J-468,5
J-469,5
J-473,5
J-488,5
J-489,5
J-497,5
J-502,5
J-503,5
J-514,5
J-515,5
J-528,5
J-621,5
J-622,5
J-640,5
J-707,5
J-709,5
J-723,5
J-73,5
J-733,5
J-74,5
J-745,5
J-755,5
J-771,5
J-807,5
J-808,5
J-809,5
J-89,5
J-90,5
J-91,5
J-11,6
J-119,6
J-12,6
J-120,6
J-154,6
J-16,6
J-203,6
J-262,6
J-263,6
J-320,6
J-321,6
J-331,6
J-332,6
J-338,6
J-339,6
J-344,6
J-345,6
J-348,6
J-349,6
J-350,6
J-351,6
J-359,6
J-364,6
J-365,6
J-367,6
J-382,6
J-385,6
J-405,6
J-409,6
J-412,6
J-413,6
J-446,6
J-471,6
J-496,6
J-5,6
J-513,6
J-549,6
J-550,6
J-563,6
J-577,6
J-578,6
J-6,6
J-610,6
J-67,6
J-68,6
J-703,6
J-710,6
J-719,6
J-722,6
J-747,6
J-750,6
J-757,6
J-92,6
J-111,7
