 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,57.6589,57.9399,58.1695,58.3589,58.5068,58.614,59.011,59.4186,59.7776,60.1442,60.5154,60.8947,61.2841,61.6913,61.6975,61.7325,61.4635,61.0439,60.988,60.8492,60.7523,60.6973,60.8359,61.3587,61.9515,
J-10,68.3815,66.5197,65.0499,64.0568,63.4073,62.9951,65.6046,67.5434,68.4539,69.1247,69.6853,70.2237,70.7776,71.4126,67.6326,65.5314,64.0093,62.2601,64.0465,64.5503,64.8808,65.196,66.513,69.7781,72.4149,
J-100,73.8602,71.57,69.79,68.5795,67.8353,67.4444,72.7025,74.449,75.4306,76.1482,76.7239,77.2491,77.7748,78.3586,72.6873,70.2701,68.536,66.7469,71.0527,71.6489,72.0444,72.4013,73.5665,76.6714,79.2803,
J-101,72.1596,69.8906,68.1268,66.9262,66.1833,65.7938,71.2549,73.0388,74.0442,74.7696,75.3479,75.8714,76.3935,76.9704,71.0734,68.6509,66.922,65.1383,69.6981,70.3175,70.7205,71.0689,72.1514,75.2142,77.8021,
J-102,70.2296,67.9453,66.1704,64.9624,64.2174,63.8287,69.2925,71.0753,72.0821,72.8081,73.3868,73.9104,74.4323,75.0089,69.1193,66.6937,64.9591,63.1749,67.7378,68.3583,68.7618,69.1102,70.1906,73.2493,75.837,
J-103,59.3474,57.2714,55.6366,54.5253,53.8233,53.4306,56.1998,57.7834,58.5423,59.1437,59.6724,60.2022,60.758,61.4107,57.7418,55.8439,54.2822,52.5199,54.5347,54.8867,55.1279,55.4176,57.0523,60.1929,62.8227,
J-104,54.3274,52.2514,50.6166,49.5054,48.8034,48.411,51.1791,52.7634,53.5226,54.1245,54.6534,55.1832,55.7388,56.3912,52.7253,50.8285,49.2672,47.5058,49.5184,49.8716,50.1131,50.4019,52.0324,55.1719,57.801,
J-105,82.1567,80.2976,78.8249,77.8256,77.1762,76.7838,79.2872,80.9747,81.7535,82.3721,82.9069,83.4355,83.9863,84.6257,81.1376,79.2943,77.7858,76.0505,77.8319,78.2543,78.5138,78.767,80.1725,83.34,85.9383,
J-106,81.9308,80.0717,78.599,77.5996,76.9503,76.5578,79.0613,80.7488,81.5275,82.1461,82.6809,83.2095,83.7603,84.3997,80.9116,79.0683,77.5598,75.8245,77.6059,78.0283,78.2878,78.5409,79.9465,83.114,85.7124,
J-107,63.9068,62.7221,61.7356,61.0438,60.4347,59.9744,63.3592,65.1644,65.8123,66.4018,66.9263,67.4614,68.0276,68.6985,64.151,61.9129,60.5776,58.7573,60.7682,61.1126,61.4353,61.882,63.8639,67.8499,70.6342,
J-108,60.9974,59.8292,58.8544,58.167,57.5567,57.0908,60.4579,62.2236,62.8276,63.3998,63.9168,64.4519,65.0218,65.7019,61.1602,58.9229,57.5839,55.7471,57.7227,58.0281,58.3393,58.8043,60.9222,64.9551,67.7494,
J-109,70.0358,67.5352,65.6072,64.2944,63.517,63.1445,66.3312,68.2768,69.4983,70.3097,70.9348,71.4816,72.0169,72.5947,68.7228,66.2438,64.4013,62.619,65.0973,65.8333,66.278,66.6217,67.4841,70.3127,72.9334,
J-11,51.4852,51.0833,50.671,50.3573,49.8562,49.3492,52.2585,54.3462,55.0525,55.6652,56.1998,56.7357,57.2981,57.9584,53.5923,51.4143,50.112,48.3281,49.9842,50.4184,50.7692,51.1496,52.762,56.9974,59.7953,
J-110,71.0309,68.5449,66.6274,65.3215,64.546,64.1725,67.4306,69.3723,70.5817,71.3882,72.0107,72.5566,73.0918,73.6705,69.7387,67.2612,65.4245,63.6423,66.1732,66.9007,67.3425,67.6875,68.5685,71.4186,74.0409,
J-111,76.0823,74.8209,73.7823,73.0688,72.4789,72.0322,74.5713,76.6255,77.493,78.1474,78.6997,79.2382,79.7963,80.4416,76.4563,74.3171,72.975,71.2232,72.7389,73.2085,73.5516,73.9041,75.3408,78.9892,81.7011,
J-112,75.9354,74.6774,73.6412,72.9293,72.3399,71.893,74.4302,76.4857,77.3523,78.0063,78.5584,79.0969,79.6551,80.3006,76.3157,74.177,72.8353,71.0836,72.5971,73.0665,73.4095,73.7621,75.1989,78.8502,81.5623,
J-113,51.281,49.3234,47.7785,46.7275,46.0321,45.6152,50.2515,51.9529,52.793,53.4564,54.0098,54.5377,55.0787,55.6962,50.4267,48.0878,46.4866,44.683,48.1832,48.6694,49.0305,49.4198,50.9395,54.3828,57.0698,
J-114,48.1449,46.1872,44.6423,43.5913,42.8959,42.479,47.1153,48.8168,49.6568,50.3202,50.8736,51.4015,51.9425,52.56,47.2906,44.9517,43.3504,41.5469,45.047,45.5332,45.8943,46.2836,47.8034,51.2467,53.9336,
J-115,80.6751,78.6708,77.0973,76.0218,75.3144,74.9091,78.6448,80.5335,81.5234,82.2505,82.8363,83.3745,83.9152,84.5188,79.9574,77.5886,75.954,74.1705,76.9666,77.5768,77.9817,78.3458,79.5363,82.8549,85.538,
J-116,77.4246,75.4185,73.8442,72.7687,72.0622,71.6594,75.4009,77.3091,78.3195,79.0547,79.6441,80.1822,80.7212,81.3205,76.7575,74.3887,72.7566,70.9809,73.7908,74.4194,74.8297,75.1851,76.3112,79.6092,82.2876,
J-117,70.3819,68.333,66.7286,65.6437,64.9604,64.5559,67.2263,69.1892,70.2133,70.9326,71.5153,72.0574,72.6066,73.2244,69.4734,67.2541,65.6396,63.8807,65.7849,66.3638,66.7313,67.0568,68.2263,71.3389,73.9712,
J-118,74.9527,72.9945,71.4548,70.4153,69.7524,69.3415,71.9833,73.941,74.9052,75.5981,76.169,76.7093,77.2611,77.8884,74.1129,71.9554,70.3877,68.6343,70.4816,71.0206,71.368,71.6877,72.9346,76.133,78.767,
J-119,52.9742,53.0553,53.0027,52.918,52.4969,51.943,54.5054,56.7725,57.507,58.1286,58.6671,59.2041,59.7664,60.4246,56.1794,54.0207,52.8114,51.062,52.4145,52.8775,53.2373,53.5989,55.0416,59.4008,62.198,
J-12,57.2201,56.8219,56.4123,56.1005,55.5998,55.0926,57.9992,60.0878,60.7941,61.4068,61.9415,62.4774,63.0398,63.7001,59.3354,57.1575,55.8554,54.0716,55.7253,56.1597,56.5106,56.8908,58.5022,62.7394,65.5375,
J-120,55.1641,54.6611,54.1763,53.8127,53.3007,52.7978,55.762,57.838,58.5478,59.1607,59.6952,60.2309,60.793,61.4529,57.0515,54.869,53.5708,51.7885,53.499,53.9253,54.2733,54.6609,56.2965,60.4662,63.2554,
J-121,50.0398,47.9661,46.318,45.1849,44.4486,43.9823,47.3896,48.3826,48.7523,49.2158,49.6793,50.2091,50.7973,51.5236,47.2128,45.0517,43.3555,41.3416,43.8595,43.7856,43.9385,44.5088,47.6013,51.5004,54.423,
J-122,50.6247,48.551,46.9029,45.7698,45.0335,44.5671,47.9745,48.9674,49.337,49.8004,50.2639,50.7937,51.382,52.1083,47.7975,45.6363,43.9401,41.9262,44.444,44.37,44.523,45.0933,48.1861,52.0853,55.0079,
J-123,46.0407,44.214,42.7627,41.7734,41.093,40.67,45.1355,46.8422,47.6457,48.2956,48.8435,49.3722,49.9172,50.5435,45.3755,43.0562,41.4982,39.6933,42.9605,43.4235,43.7785,44.175,45.777,49.323,52.0291,
J-124,49.9818,48.1561,46.7052,45.7159,45.035,44.6106,49.0729,50.7689,51.5611,52.2065,52.7524,53.2812,53.8271,54.4558,49.2887,46.9694,45.41,43.6008,46.8604,47.3133,47.6653,48.0666,49.7041,53.2615,55.9702,
