 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,116.814,117.245,117.938,118.583,119.121,119.518,121.823,120.937,120.063,119.62,119.404,119.354,119.399,119.574,119.7,119.776,119.754,119.508,119.003,118.258,117.702,117.631,118.8,122.343,124.088,
J-10,83.6074,84.1889,84.8361,85.4782,86.0684,86.5721,87.7321,87.7515,87.74,87.8297,87.9019,87.9297,87.9431,87.9771,88.0495,88.1321,88.2038,88.2405,88.1121,87.7389,87.3253,87.0505,87.4163,88.5767,89.7913,
J-100,76.226,76.5023,77.0667,77.6343,78.1225,78.4878,79.4033,79.1556,78.8547,78.7989,78.7888,78.7906,78.8184,78.9015,78.9846,79.0597,79.0992,79.0331,78.7991,78.3231,77.8985,77.7036,78.6229,80.0333,81.3402,
J-101,73.0127,73.2982,73.9033,74.5194,75.0586,75.4739,76.5124,76.3118,76.0355,75.9912,75.9905,75.9958,76.0253,76.1087,76.1984,76.2828,76.334,76.2828,76.0605,75.5818,75.1339,74.9103,75.7693,77.2294,78.6263,
J-102,83.6783,84.4057,85.087,85.7579,86.3751,86.9045,89.0975,88.6141,88.2262,88.1403,88.1082,88.1074,88.1369,88.2308,88.3254,88.4087,88.4482,88.3742,88.083,87.5168,87.0347,86.8302,88.0104,89.8305,91.3556,
J-103,83.1708,83.8948,84.577,85.2491,85.867,86.3969,88.5985,88.1131,87.7216,87.6347,87.6036,87.6031,87.6326,87.7261,87.8207,87.9042,87.9443,87.8713,87.5814,87.0163,86.5346,86.3301,87.5101,89.3337,90.8597,
J-104,110.874,111.328,112.017,112.65,113.169,113.542,115.807,114.869,113.963,113.514,113.298,113.251,113.3,113.483,113.612,113.69,113.665,113.411,112.894,112.138,111.59,111.488,112.763,116.366,118.099,
J-105,127.686,128.13,128.819,129.452,129.971,130.342,132.553,131.614,130.705,130.252,130.033,129.982,130.027,130.205,130.33,130.403,130.373,130.113,129.587,128.821,128.261,128.257,129.531,133.034,134.78,
J-106,82.7757,83.0428,83.6532,84.2908,84.8695,85.3417,86.4818,86.442,86.2935,86.2995,86.3166,86.3192,86.3374,86.3974,86.4789,86.5641,86.6284,86.6159,86.4536,86.0401,85.5945,85.3175,85.8401,87.1644,88.5466,
J-107,62.0194,62.1556,62.6923,63.149,63.3798,63.3245,63.4555,61.9335,60.4836,59.898,59.6419,59.6148,59.7127,59.9937,60.1475,60.2128,60.1243,59.6867,58.8609,57.7088,57.1348,57.3016,61.2106,64.0014,65.7056,
J-108,69.6346,69.7463,70.3202,70.826,71.1068,71.0962,71.3238,69.8233,68.3542,67.7519,67.4866,67.4556,67.554,67.8412,68.0024,68.0744,67.9893,67.5456,66.6969,65.4986,64.8812,65.0274,69.0025,71.8937,73.712,
J-109,93.7528,94.1022,94.7207,95.3553,95.9296,96.3999,97.4891,97.4546,97.3529,97.4062,97.4388,97.4432,97.4581,97.5113,97.5855,97.6654,97.7274,97.7162,97.5579,97.1462,96.7015,96.4228,96.897,98.1601,99.4928,
J-11,108.673,109.242,109.83,110.433,111.031,111.599,112.454,112.936,113.266,113.462,113.554,113.577,113.58,113.597,113.652,113.724,113.794,113.835,113.787,113.592,113.263,112.92,112.759,113.31,114.114,
J-110,84.7895,85.1341,85.7544,86.3915,86.9681,87.4402,88.5482,88.5111,88.4023,88.4508,88.4877,88.4959,88.5141,88.57,88.6475,88.7308,88.7965,88.7897,88.6367,88.23,87.789,87.5132,87.9911,89.267,90.6093,
J-111,73.3257,73.9429,74.5982,75.2458,75.8428,76.3565,77.6069,77.6136,77.5835,77.6555,77.7167,77.7448,77.765,77.8141,77.8938,77.9804,78.051,78.081,77.9655,77.6118,77.2141,76.9374,77.3367,78.5263,79.7379,
J-112,84.0503,84.3849,85.0042,85.6415,86.2184,86.6903,87.8029,87.764,87.6492,87.6929,87.7284,87.7366,87.7551,87.8114,87.8894,87.973,88.0388,88.0322,87.8792,87.4726,87.0314,86.7558,87.2372,88.5202,89.8683,
J-113,60.0641,60.6501,61.2334,61.8391,62.4563,63.0638,63.8024,64.5057,64.9916,65.2531,65.3778,65.4232,65.4456,65.4767,65.5479,65.6374,65.729,65.7975,65.7886,65.6481,65.361,65.0172,64.7274,65.0549,65.7115,
J-114,61.753,62.3381,62.9207,63.5258,64.1424,64.7494,65.4871,66.1897,66.6751,66.9359,67.0599,67.1047,67.1265,67.1569,67.2274,67.3163,67.4072,67.4752,67.4657,67.3245,67.0368,66.6923,66.4017,66.7285,67.3845,
J-115,75.0961,75.688,76.3371,76.9792,77.5691,78.0723,79.2352,79.2474,79.2288,79.3171,79.3922,79.4241,79.4411,79.48,79.5556,79.6411,79.7149,79.7534,79.6289,79.2577,78.8491,78.5805,78.9648,80.1344,81.3463,
J-116,62.5484,62.822,63.4393,64.0831,64.6673,65.1443,66.3324,66.2849,66.1243,66.121,66.1448,66.1563,66.1824,66.2494,66.3385,66.4314,66.5034,66.4995,66.3474,65.9446,65.5078,65.2384,65.7778,67.1278,68.5263,
J-117,68.0259,68.3001,68.916,69.5584,70.1415,70.6177,71.7933,71.7491,71.5938,71.5952,71.6189,71.6284,71.6523,71.7169,71.8037,71.8944,71.9647,71.9596,71.8064,71.4024,70.9641,70.6923,71.2196,72.56,73.953,
J-118,58.2206,58.8236,59.4798,60.1298,60.7289,61.2428,62.4674,62.4833,62.4622,62.5454,62.6175,62.6528,62.6782,62.7299,62.8142,62.9066,62.9848,63.0272,62.925,62.5737,62.1751,61.9065,62.2826,63.4712,64.6956,
J-119,76.0717,76.9854,77.7282,78.3602,78.8616,79.2032,81.5917,80.3744,79.3006,78.8497,78.6466,78.6184,78.6877,78.9023,79.0388,79.1123,79.0683,78.7636,78.1732,77.3401,76.8262,76.78,79.6645,82.2606,83.9544,
J-12,102.439,103.012,103.606,104.213,104.813,105.381,106.26,106.723,107.038,107.231,107.322,107.347,107.353,107.373,107.432,107.506,107.577,107.619,107.571,107.377,107.05,106.709,106.568,107.15,107.974,
J-120,71.2679,72.183,72.9295,73.5669,74.0768,74.4292,76.8677,75.6666,74.6039,74.1561,73.9545,73.9276,73.9974,74.2122,74.3502,74.4257,74.3847,74.0847,73.5021,72.6762,72.1641,72.1147,74.9718,77.5594,79.2556,
J-121,100.826,101.512,102.18,102.825,103.41,103.906,105.253,105.086,104.905,104.894,104.897,104.907,104.932,105.014,105.098,105.174,105.209,105.142,104.923,104.519,104.135,103.872,104.699,106.048,107.264,
